,brand,price,year
792,jordan,264,2007
793,air,250,2007
794,None,360,2007
795,air,455,2007
796,nike,914,2007
797,jordan,250,2007
798,jordan,395,2007
799,air,201,2007
800,lebron,400,2007
801,jordan,225,2007
802,jordan,255,2007
803,jordan,325,2007
804,jordan,325,2007
805,jordan,420,2007
806,jordan,450,2007
807,air,150,2007
808,air,350,2007
809,None,817,2007
810,jordan,70,2007
811,jordan,205,2007
812,jordan,190,2007
813,jordan,160,2007
814,jordan,237,2007
815,jordan,383,2007
816,jordan,250,2007
817,air,200,2007
818,nike,380,2007
819,nike,400,2007
820,jordan,181,2007
821,balance,800,2007
822,jordan,175,2007
823,jordan,250,2007
824,air,110,2007
825,nike,400,2007
826,air,601,2007
827,air,650,2007
828,nike,700,2007
829,jordan,200,2007
830,jordan,255,2007
831,air,135,2007
832,kobe,155,2007
833,lebron,290,2007
834,jordan,150,2007
835,jordan,160,2007
836,jordan,171,2007
837,jordan,225,2007
838,jordan,300,2007
839,jordan,375,2007
840,air,125,2007
841,jordan,190,2007
842,air,77,2007
843,jordan,190,2007
844,air,260,2007
845,nike,792,2007
846,kobe,130,2007
847,nike,140,2007
848,air,375,2007
849,nike,775,2007
850,air,999,2007
851,jordan,120,2007
852,jordan,190,2007
853,jordan,250,2007
854,jordan,300,2007
855,jordan,350,2007
856,jordan,132,2007
857,jordan,140,2007
858,jordan,180,2007
859,jordan,198,2007
860,jordan,278,2007
861,nike,300,2007
862,air,330,2007
863,air,100,2007
864,jordan,145,2007
865,jordan,225,2007
866,jordan,380,2007
867,jordan,268,2007
868,jordan,300,2007
869,jordan,332,2007
870,balance,175,2007
871,lebron,300,2007
872,nike,345,2007
873,jordan,350,2007
874,jordan,149,2007
875,nike,375,2007
876,nike,400,2007
877,nike,475,2007
878,jordan,220,2007
879,jordan,140,2007
880,jordan,160,2007
881,jordan,200,2007
882,kobe,320,2007
883,lebron,280,2007
884,air,300,2007
885,jordan,250,2007
886,air,452,2007
887,air,408,2007
888,nike,200,2007
889,air,239,2007
890,jordan,339,2007
891,lebron,325,2007
892,jordan,160,2007
893,jordan,225,2007
894,lebron,400,2007
895,air,165,2007
896,air,250,2007
897,nike,250,2007
898,nike,278,2007
899,nike,325,2007
900,nike,350,2007
901,air,140,2007
902,balance,150,2007
903,jordan,190,2007
904,jordan,215,2007
905,balance,234,2007
906,balance,277,2007
907,jordan,350,2007
908,jordan,340,2007
909,air,400,2007
910,air,899,2007
911,air,100,2007
912,nike,220,2007
913,nike,335,2007
914,air,74,2007
915,air,75,2007
916,air,115,2007
917,nike,120,2007
918,air,125,2007
919,nike,140,2007
920,air,150,2007
921,nike,150,2007
922,air,165,2007
923,air,167,2007
924,air,175,2007
925,air,175,2007
926,air,179,2007
927,nike,180,2007
928,nike,192,2007
929,air,200,2007
930,air,205,2007
931,air,222,2007
932,air,225,2007
933,air,225,2007
934,nike,233,2007
935,air,245,2007
936,nike,250,2007
937,nike,250,2007
938,air,251,2007
939,air,256,2007
940,nike,288,2007
941,air,299,2007
942,air,300,2007
943,nike,300,2007
944,air,300,2007
945,kobe,310,2007
946,air,324,2007
947,air,330,2007
948,air,333,2007
949,air,355,2007
950,air,375,2007
951,air,388,2007
952,air,423,2007
953,nike,425,2007
954,nike,450,2007
955,nike,500,2007
956,air,625,2007
957,air,685,2007
958,air,699,2007
959,lebron,749,2007
960,air,779,2007
961,air,899,2007
962,jordan,219,2016
963,jordan,150,2016
964,jordan,119,2016
965,balance,210,2016
966,adidas,30,2016
967,adidas,199,2016
968,adidas,55,2016
969,nike,130,2016
970,kyrie,90,2016
971,None,140,2016
972,None,69,2016
973,reebok,98,2016
974,kyrie,175,2016
975,adidas,47,2016
976,jordan,69,2016
977,jordan,180,2016
978,kobe,228,2016
979,jordan,199,2016
980,adidas,249,2016
981,jordan,540,2016
982,adidas,206,2016
983,puma,40,2016
984,adidas,199,2016
985,reebok,230,2016
986,adidas,240,2016
987,None,319,2016
988,jordan,340,2016
989,jordan,150,2016
990,lebron,125,2016
991,air,125,2016
992,air,179,2016
993,air,185,2016
994,adidas,200,2016
995,nike,219,2016
996,nike,65,2016
997,adidas,670,2016
998,jordan,235,2016
999,jordan,130,2016
1000,jordan,300,2016
1001,air,124,2016
1002,air,350,2016
1003,jordan,70,2016
1004,air,99,2016
1005,nike,110,2016
1006,adidas,138,2016
1007,jordan,140,2016
1008,kyrie,150,2016
1009,kyrie,200,2016
1010,None,250,2016
1011,nike,745,2016
1012,reebok,130,2016
1013,air,200,2016
1014,kobe,220,2016
1015,None,225,2016
1016,None,300,2016
1017,None,300,2016
1018,air,600,2016
1019,air,750,2016
1020,nike,83,2016
1021,jordan,95,2016
1022,jordan,100,2016
1023,jordan,125,2016
1024,adidas,150,2016
1025,adidas,176,2016
1026,None,189,2016
1027,kd,219,2016
1028,adidas,229,2016
1029,adidas,250,2016
1030,air,322,2016
1031,air,350,2016
1032,nike,65,2016
1033,nike,89,2016
1034,adidas,95,2016
1035,adidas,70,2016
1036,adidas,90,2016
1037,adidas,122,2016
1038,adidas,550,2016
1039,kyrie,250,2016
1040,kyrie,244,2016
1041,jordan,300,2016
1042,jordan,195,2016
1043,jordan,120,2016
1044,None,146,2016
1045,jordan,90,2016
1046,air,150,2016
1047,balance,151,2016
1048,None,160,2016
1049,asics,175,2016
1050,air,200,2016
1051,None,200,2016
1052,saucony,225,2016
1053,None,278,2016
1054,reebok,239,2016
1055,nike,100,2016
1056,nike,125,2016
1057,air,778,2016
1058,balenciaga,779,2016
1059,balenciaga,650,2016
1060,adidas,70,2016
1061,adidas,85,2016
1062,adidas,90,2016
1063,adidas,120,2016
1064,air,125,2016
1065,adidas,188,2016
1066,air,95,2016
1067,adidas,87,2016
1068,adidas,200,2016
1069,adidas,125,2016
1070,puma,100,2016
1071,adidas,156,2016
1072,puma,100,2016
1073,puma,120,2016
1074,air,135,2016
1075,adidas,138,2016
1076,adidas,140,2016
1077,adidas,140,2016
1078,puma,150,2016
1079,puma,150,2016
1080,adidas,160,2016
1081,adidas,179,2016
1082,adidas,180,2016
1083,adidas,210,2016
1084,adidas,219,2016
1085,adidas,75,2016
1086,kd,115,2016
1087,reebok,148,2016
1088,jordan,99,2016
1089,adidas,100,2016
1090,lebron,140,2016
1091,adidas,76,2016
1092,jordan,135,2016
1093,jordan,172,2016
1094,adidas,185,2016
1095,adidas,200,2016
1096,adidas,234,2016
1097,adidas,60,2016
1098,None,65,2016
1099,adidas,75,2016
1100,adidas,85,2016
1101,adidas,90,2016
1102,adidas,100,2016
1103,jordan,103,2016
1104,adidas,107,2016
1105,adidas,108,2016
1106,adidas,125,2016
1107,adidas,130,2016
1108,adidas,145,2016
1109,adidas,170,2016
1110,adidas,170,2016
1111,adidas,180,2016
1112,vans,199,2016
1113,jordan,299,2016
1114,air,48,2016
1115,air,114,2016
1116,adidas,127,2016
1117,reebok,170,2016
1118,air,499,2016
1119,jordan,85,2016
1120,air,100,2016
1121,nike,198,2016
1122,adidas,341,2016
1123,air,65,2016
1124,adidas,67,2016
1125,adidas,88,2016
1126,air,89,2016
1127,air,99,2016
1128,nike,100,2016
1129,air,110,2016
1130,air,120,2016
1131,nike,124,2016
1132,jordan,148,2016
1133,nike,154,2016
1134,jordan,158,2016
1135,jordan,186,2016
1136,None,200,2016
1137,adidas,200,2016
1138,adidas,239,2016
1139,lebron,240,2016
1140,reebok,268,2016
1141,air,400,2016
