,sneaker,price,brand,date
135,"['Nike Dunk High', 'Send Help 2', 'Nike Dunk High', 'Send Help 2']",150,nike,['release: 10/30/2013']
136,['Reebok Kamikaze II SNS Tweed'],100,reebok,['release: 10/30/2013']
137,"['Air Huarache', 'Team Red Volt', 'Air Huarache', 'Team Red Volt']",195,air,['release: 10/28/2013']
138,['Air Trainer Max 91 Philadelphia Eagles'],799,air,['release: 10/28/2013']
139,['Reebok Ventilator White Charcoal Pink'],167,reebok,['release: 10/27/2013']
140,['Air Trainer 1 Mid Infrared'],280,air,['release: 10/26/2013']
141,"['ASICS Gel-Lyte V Ronnie Fieg ""Volcano""']",400,asics,['release: 10/25/2013']
142,['Reebok Kamikaze II Kryptonite / Acid Rain'],100,reebok,['release: 10/25/2013']
143,"['Vans Authentic', 'Supreme Bruce Lee (Blue)', 'Vans Authentic', 'Supreme Bruce Lee (Blue)']",300,vans,['release: 10/24/2013']
144,"['Vans Sk8-Hi', 'Supreme Bruce Lee (Blue)', 'Vans Sk8-Hi', 'Supreme Bruce Lee (Blue)']",675,vans,['release: 10/24/2013']
145,"['Vans Authentic', 'Supreme Bruce Lee (White)', 'Vans Authentic', 'Supreme Bruce Lee (White)']",800,vans,['release: 10/24/2013']
146,"['Air Max 95 Tape', 'Black Pink Foil', 'Air Max 95 Tape', 'Black Pink Foil']",180,air,['release: 10/20/2013']
147,"['Jordan 6 Rings', 'Bel Air', 'Jordan 6 Rings', 'Bel Air']",170,air,['release: 10/19/2013']
148,['Nike Free Trainer 5.0 Black Pink'],100,nike,['release: 10/19/2013']
149,['Reebok Classic Leather Bodega U.S.B.D.G.A.'],102,reebok,['release: 10/19/2013']
150,"['Jordan 10 Retro', 'Fusion Red (GS)', 'Jordan 10 Retro', 'Fusion Red (GS)']",135,jordan,['release: 10/19/2013']
151,"['Jordan 6 Rings', 'Bel-Air (GS)', 'Jordan 6 Rings', 'Bel-Air (GS)']",170,air,['release: 10/19/2013']
152,"['Air Max 1', 'Liquid Gold (W)', 'Air Max 1', 'Liquid Gold (W)']",450,air,['release: 10/19/2013']
153,['Reebok Shaqnosis Escape from LA'],130,reebok,['release: 10/18/2013']
154,['Reebok Question Mid Packer Shoes For Player Use Only Kobe'],145,kobe,['release: 10/14/2013']
155,['Reebok Question Mid Packer Shoes For Player Use Only LeBron'],212,lebron,['release: 10/14/2013']
156,"['Jordan 10 Retro', 'Steel (2013)', 'Jordan 10 Retro', 'Steel (2013)']",275,jordan,['release: 10/12/2013']
157,"['LeBron X NSW', 'Dark Olive', 'LeBron X NSW', 'Dark Olive']",81,lebron,['release: 10/12/2013']
158,['Air Force 1 High Tech Tuff Black'],94,air,['release: 10/12/2013']
159,"['LeBron 11', ""King's Pride"", 'LeBron 11', ""King's Pride""]",182,lebron,['release: 10/12/2013']
160,"['Jordan XX8 SE', 'Georgetown Camo', 'Jordan XX8 SE', 'Georgetown Camo']",259,jordan,['release: 10/11/2013']
161,"['Jordan XX8 SE', 'Green Camo', 'Jordan XX8 SE', 'Green Camo']",260,jordan,['release: 10/11/2013']
162,"['KD 6', 'Texas', 'KD 6', 'Texas']",150,kd,['release: 10/10/2013']
163,"['Jordan 5 Retro', 'Bel-Air', 'Jordan 5 Retro', 'Bel-Air']",398,air,['release: 10/05/2013']
